title,genres
"One Potato, Two Potato",Drama
Wristcutters: A Love Story,Drama|Fantasy|Romance
Not Reconciled (Nicht versöhnt oder Es hilft nur Gewalt wo Gewalt herrscht),Drama
I Spit on Your Grave (Day of the Woman),Horror|Thriller
Petits Freres (Petits Frères),Drama
"Eddy Duchin Story, The",Drama|Musical|Romance
"Stoning of Soraya M., The",Crime|Drama
"Man Who Knew Too Little, The",Comedy|Crime|Thriller
Cassandra's Dream,Crime|Drama|Thriller
"Corridors of Time: The Visitors II, The (Couloirs du temps: Les visiteurs 2, Les)",Children|Comedy|Fantasy|Sci-Fi
Momma's Man,Drama
Mercy,Crime|Mystery|Thriller
"Thomas Crown Affair, The",Action|Mystery
"Sunchaser, The",Drama
"Giant Mechanical Man, The",Comedy|Drama|Romance
Uncle Nino,Comedy
Paint Your Wagon,Comedy|Musical|Western
Waitress,Comedy|Drama|Romance
"Noah's Arc Principle, The (Arche Noah Prinzip, Das)",Sci-Fi
Bling: A Planet Rock,Documentary
What We Do in the Shadows,Comedy|Horror
Guyana Tragedy: The Story of Jim Jones,Drama
Dr. Seuss' The Lorax,Animation|Fantasy|Musical|IMAX
Inferno,Drama
"Deal, The",Drama
Baby Boom,Comedy
Blood and Black Lace (Sei donne per l'assassino),Horror|Thriller
"Big Bounce, The",Comedy|Crime|Thriller
The Incident,Crime|Drama
Transformers: Dark of the Moon,Action|Adventure|Sci-Fi|War|IMAX
Sing Your Song,Documentary
"Lawless Street, A (Marshal of Medicine Bend)",Western
"Thief and the Cobbler, The (a.k.a. Arabian Knight)",Adventure|Animation|Comedy|Fantasy
"Public Woman, The (Femme publique, La)",Drama
Evolution,Comedy|Sci-Fi
Alyce Kills,Horror|Thriller
"Perfect Fake, A",Documentary
Run Sister Run!,Drama
Talhotblond:,Documentary|Thriller
Eddie and the Cruisers,Drama|Musical|Mystery
My Crazy Life (Mi vida loca),Drama
On the Line,Comedy|Romance
Blackboards (Takhté Siah),Drama
"Witches, The (aka Devil's Own, The)",Horror
Singles,Comedy|Drama|Romance
Savior,Drama|War
Eden of the East the Movie I: The King of Eden (Higashi no Eden Gekijoban),Action|Animation|Crime|Sci-Fi|Thriller
Old Acquaintance,Drama
Zodiac,Crime|Drama|Thriller
Next of Kin,Comedy|Drama
"Laramie Project, The",Crime|Drama
Outland,Action|Sci-Fi|Thriller
Keeper of the Flame,Drama|Mystery
Trance,Mystery|Thriller
Meet the Fockers,Comedy
Strangers in Good Company,Drama
"Messenger: The Story of Joan of Arc, The",Drama|War
"Hard Way, The",Action|Comedy
Peacock,Thriller
Beastly,Drama|Fantasy|Romance
Night of the Demons,Horror
Bright Leaves,Documentary
Snatch,Comedy|Crime|Thriller
Maelström,Drama|Romance
Arthur and the Revenge of Maltazard (Arthur et la vengeance de Maltazard),Animation|Children|Fantasy
October Sky,Drama
"Little Romance, A",Comedy|Romance
"Motorcycle Diaries, The (Diarios de motocicleta)",Adventure|Drama
Live Free or Die Hard,Action|Adventure|Crime|Thriller
"Factory, The",Mystery|Thriller
"King of Comedy, The",Comedy|Drama
Paper Planes,Children
Bikini Spring Break (Revenge of the Nerds' Bikini Spring Break),Comedy
Hercules,Action|Adventure|Fantasy
"Relic, The",Horror|Thriller
Stars and Stripes Forever,Drama
Garfield Gets Real,Animation|Children|Comedy
"Trail of the Lonesome Pine, The",Drama|Romance
"Great McGinty, The",Comedy
"Code Conspiracy, The",Action|Mystery|Thriller
"Suddenly, Last Summer",Drama
Boys Life 4: Four Play,Comedy|Drama
Daniel Deronda,Drama|Romance
"Tiger and the Snow, The (La tigre e la neve)",Comedy|Drama|Romance|War
"Glass Key, The",Crime|Drama|Film-Noir|Mystery
Carnival in Flanders (La kermesse héroïque),Comedy|Romance
"Lodger, The",Crime|Horror|Mystery|Thriller
Murder by Contract,Crime|Drama|Film-Noir|Thriller
Los Flamencos,Comedy
Double Happiness,Drama
A Mulher Invisível,Comedy
Bloodbath at the House of Death,Comedy|Horror
"Great Ecstasy of Woodcarver Steiner, The (Große Ekstase des Bildschnitzers Steiner, Die)",Documentary
Princess Aurora (Orora gongju),Crime|Drama|Mystery
Clean,Drama
"Hunting of the President, The",Documentary
Day of the Dead 2: Contagium,Horror|Sci-Fi
"Way We Were, The",Drama|Romance
After Life (Wandafuru raifu),Drama|Fantasy
Hell Comes to Frogtown,Action|Comedy|Sci-Fi
"Courage of the Eagles, The (Les aiguilles rouges)",Drama
Cousinhood (Primos),Comedy
If You Are the One,Comedy|Romance
MirrorMask,Adventure|Children|Drama|Fantasy
"Unreal Dream: The Michael Morton Story, An",Documentary
"Moon Warriors, The (Zhan shen chuan shuo)",Action|Adventure
River Queen,Action|Adventure|Drama|Romance|War
"Aura, The (Aura, El)",Crime|Drama|Thriller
Hulk Vs.,Animation
Less is More (Menos es más),Comedy
Fun in Acapulco,Comedy|Musical
Eloise at Christmastime,Children|Comedy|Drama
Miss Congeniality,Comedy|Crime
"Nazis Strike, The (Why We Fight, 2)",Documentary|War
Houdini,Drama
Makai Tensho: Samurai Reincarnation (Makai tenshô),Action|Fantasy|Horror
Chainsaw Maid,Animation
Crime and Punishment,Drama
Paper Planes,Children
Secret Agent,Thriller
Queen of the Damned,Fantasy|Horror
Arabesque,Adventure|Drama|Romance|Thriller
The Land Unknown,Adventure|Fantasy|Sci-Fi
Saturday Night,Documentary
"Love Punch, The",Comedy
"War at Home, The",Drama
"Ballad of Little Jo, The",Drama|Western
Freedomland,Crime|Drama
"Last Song, The",Drama|Romance
"Other End of the Line, The",Comedy|Romance
Dirty Dozen: The Deadly Mission,Action|Drama|War
Noel,Drama
"Enforcer, The",Crime|Drama|Film-Noir
"Life and Times of Hank Greenberg, The",Documentary
Easy A,Comedy|Romance
Gasland Part II,Documentary
Dead Calm,Thriller
Fresh,Crime|Drama|Thriller
"Young Visiters, The",Comedy|Romance
"Lord of the Rings: The Fellowship of the Ring, The",Adventure|Fantasy
Resan Till Melonia,Adventure|Animation|Children|Fantasy
"Forsyte Saga, The",Drama
Love Serenade,Comedy
Coup de torchon (Clean Slate),Crime
Living with the Fosters,Comedy
Charley Varrick,Crime|Drama|Thriller
Youth of the Son,Drama
"Way of War, The",Action|Thriller
"Great Beauty, The (Grande Bellezza, La)",Comedy|Drama
Jack Frost 2: Revenge of the Mutant Killer Snowman,Horror
Pokémon the Movie 2000,Animation|Children
For Your Consideration,Comedy
Getting It Right,Comedy|Drama
Blackout,Horror|Thriller
Jaws: The Revenge,Horror|Thriller
Daniel Deronda,Drama|Romance
To Be Twenty,Comedy|Drama|Horror
Chicago Overcoat,Action|Drama
Rampart,Action|Crime|Drama|Thriller
Casper's Haunted Christmas,Animation|Children
Gervaise,Drama
Passion of Love (Passione d'amore),Drama|Romance
You're Gonna Miss Me,Documentary
Tuff Turf,Drama
MC5: Kick Out the Jams,Documentary
Raising Arizona,Comedy
Wristcutters: A Love Story,Drama|Fantasy|Romance
Voodoo Dawn,Horror
Men in Black (a.k.a. MIB),Action|Comedy|Sci-Fi
Albatross,Drama
Brannigan,Action
Xiu Xiu: The Sent-Down Girl (Tian yu),Drama
Nadine,Comedy
Breathing Room,Horror|Mystery|Thriller
What Have You Done to Solange?,Crime
"Cadaver Christmas, A",Comedy|Horror
"Gold of Naples, The (L'oro di Napoli)",Comedy
Day of the Dead,Horror
Wisdom,Crime|Drama
Body/Cialo,Comedy|Drama|Mystery
Face to Face (Ansikte mot ansikte),Drama|Fantasy|Horror|Mystery
"Interview, The",Crime|Drama|Mystery|Thriller
Easy A,Comedy|Romance
Jubal,Western
On Any Sunday,Documentary
Tere Bin Laden,Comedy|Drama
Johnny Handsome,Crime|Drama
The Swedish Moment,Comedy
"White Hell of Pitz Palu, The (Die weiße Hölle vom Piz Palü) ",Action|Adventure|Drama
200 M.P.H.,Action|Adventure|Drama
Spud,Comedy
You're a Big Boy Now,Comedy|Drama
Guendalina,Comedy
"Black Orchid, The",Drama
Celtic Pride,Comedy
The Diary of Anne Frank,Drama|War
Faith School Menace?,Documentary
"Reef, The",Drama|Horror|Thriller
Broadway Melody of 1936,Musical|Romance
You Can't Take It with You,Comedy|Romance
Eat Sleep Die (Äta sova dö),Drama
Elia Kazan: A Director's Journey,Documentary
Executive Protection (Livvakterna),Action|Thriller
Death Wish 2,Action|Drama
Angele,Drama
Transformers,Action|Sci-Fi|Thriller|IMAX
Major League II,Comedy
"Element of Crime, The (Forbrydelsens Element)",Drama|Thriller
Tall Tale,Adventure|Children|Fantasy|Western
"Heart in Winter, A (Un coeur en hiver)",Drama|Romance
Around the World,Comedy|Musical
Black Water,Adventure|Drama|Horror|Thriller
"Ghostmaker, The (Box of Shadows)",Horror|Sci-Fi|Thriller
"Twilight Saga: New Moon, The",Drama|Fantasy|Horror|Romance|Thriller
Thursday,Action|Crime|Thriller
"Redhead from Wyoming, The",Western
Face to Face (Faccia a faccia),Adventure|Western
"Air Up There, The",Comedy
Budd Boetticher: An American Original ,Documentary
Martín (Hache),Drama
Neil Young: Human Highway,Comedy|Drama
"Wizard of Oz, The",Adventure|Children|Fantasy|Musical
Run Sister Run!,Drama
Power/Rangers,Action|Adventure|Sci-Fi
"Jungle Creature: Hugo, The (Jungledyret) (Go Hugo Go)",Animation|Children|Musical|Romance
American Madness,Drama
Diary of a Lost Girl (Tagebuch einer Verlorenen),Drama
Bring Me the Head of Alfredo Garcia,Crime|Drama|Thriller
"Ugly Dachshund, The",Children|Comedy
Disorganized Crime,Action|Comedy
"Lost Missile, The",Sci-Fi
Whatever,Drama
Kill Your Darlings,Comedy|Drama
"Guilt Trip, The",Comedy
Szamanka,Drama|Horror|Mystery
"Blood, Guts, Bullets and Octane",Action|Comedy
E=mc2,Action|Comedy
"Dove, The",Drama|Romance
Shark in Venice,Action|Horror|Thriller
Sekirei,(no genres listed)
"Oslo, August 31st (Oslo, 31. august)",Drama
Biker Boyz,Action|Crime|Drama
Initial D (Tau man ji D),Action|Crime|Drama
"Watcher in the Woods, The",Children|Horror|Mystery|Thriller
Style Wars,Documentary
Border Café,Drama
11-11-11 (11-11-11: The Prophecy),Horror|Thriller
Close-Up (Nema-ye Nazdik),Drama
Just Buried,Comedy|Drama|Romance
50 Children: The Rescue Mission of Mr. And Mrs. Kraus,Documentary
"Feuerzangenbowle, Die",Comedy
"Appaloosa, The",Western
Mother and Child,Drama
In Your Hands (Forbrydelser),Drama
"Crazy Stranger, The (Gadjo Dilo)",Comedy|Drama
God Is the Bigger Elvis,Documentary
Eye for an Eye,Drama|Thriller
Runner Runner,Crime|Drama|Thriller
Turbo,Adventure|Animation|Children|Comedy|Fantasy
Enid Is Sleeping,Comedy
Legion,Action|Fantasy|Horror|Thriller
Amazing Grace and Chuck,Drama
Promise Me This (Zavet),Comedy
Sambizanga,Drama
Who Killed the Electric Car?,Documentary
The Whisperer in Darkness,Horror|Mystery|Sci-Fi|Thriller
61*,Drama
Lethal Weapon 2,Action|Comedy|Crime|Drama
Thumbsucker,Comedy|Drama
Double Trouble,Action|Comedy|Crime|Romance
"Oh, God! Book II",Comedy
Bad Dreams,Horror|Thriller
"Librarian: Return to King Solomon's Mines, The",Action|Adventure|Fantasy
Winter Soldier,Documentary|War
"Pornographers, The (Erogotoshi-tachi yori: Jinruigaku nyûmon)",Comedy|Drama
Marvellous,Drama
Cabeza de Vaca,Action|Adventure
Leap of Faith,Comedy|Drama
The Returned,Drama|Horror|Thriller
Surrogates,Action|Sci-Fi|Thriller
Little Girl (La pivellina),Drama
Chance Pe Dance,Comedy|Drama|Romance
Everyday Sunshine:  The Story of Fishbone,Documentary
"Girl on a Motorcycle, The",Drama|Romance
"Journey, The",Drama|Romance
Where the Rivers Flow North,Drama
"Killings at Outpost Zeta, The",Drama|Sci-Fi
"Seducing Doctor Lewis (Grande séduction, La)",Comedy
"Hamiltons, The",Drama|Horror|Thriller
"Birder's Guide to Everything, A",Comedy
Katyn,Drama|War
På sista versen,Comedy
Michael,Drama|Thriller
"Purple Ball, The (Lilovyy shar)",Fantasy|Sci-Fi
Mystery Road,Mystery|Thriller
"Burning, The",Horror
North by Northwest,Action|Adventure|Mystery|Romance|Thriller
Benji ,Documentary
"Pajama Game, The",Comedy|Musical|Romance
Desperado,Action|Romance|Western
To the Sea (Alamar),Drama
Bright Leaves,Documentary
Wall Street: Money Never Sleeps,Drama
Sex Lives of the Potato Men,Comedy
"10th Kingdom, The",Adventure|Comedy|Fantasy
Horns,Horror|Mystery
44 Minutes: The North Hollywood Shoot-Out,Action|Crime
Child's Pose,Drama
"Bound by Honor (a.k.a. Blood In, Blood Out)",Action|Crime|Drama|Thriller
"Dark Corner, The",Crime|Drama|Film-Noir
Holiday Engagement,Comedy
Inside the Twin Towers,Drama
From the Earth to the Moon,Adventure|Fantasy|Sci-Fi
Last Ride,Drama
Zero Charisma,Comedy|Drama
Funny Games U.S.,Drama|Thriller
Murder by Proxy: How America Went Postal,Documentary
Doctor Who,Adventure|Sci-Fi
Photographing Fairies,Drama|Fantasy|Mystery
Ball of Fire,Comedy|Romance
Cows (Vacas),Drama
"Quick and the Dead, The",Western
"Mummy Returns, The",Action|Adventure|Comedy|Thriller
Wayne's World,Comedy
Young at Heart,Drama|Musical|Romance
Kings of the Sun,Adventure|Drama|Thriller
Shooting Gallery,Crime|Drama|Thriller
Abendland,Documentary
Post Tenebras Lux,Drama
"Libertine, The",Drama
"Cinderella Story, A",Comedy|Romance
"Hard Corps, The",Action|Thriller
Heads,Comedy|Crime
Garfield: The Movie,Animation|Children|Comedy
Samurai Fiction (SF: Episode One),Action|Adventure|Comedy
"Longest Yard, The",Comedy|Drama
Wimbledon,Comedy|Romance
Dredd,Action|Sci-Fi
At First Sight (Entre Nous) (Coup de foudre),Drama
"Snow Creature, The",Horror
That Hamilton Woman,Drama|Romance|War
Rikyu,Drama
Cell Count,Horror|Sci-Fi
V. I. Warshawski,Action|Comedy|Crime
Hercules in New York,Action|Comedy|Fantasy
Brest Fortress (Brestskaya krepost),Action|Drama|War
"Marriage Circle, The",Comedy
Eat,Documentary
Descent,Drama|Thriller
Submarine,Comedy|Drama|Romance
Castaway on the Moon (Kimssi pyoryugi),Comedy|Drama|Romance
Vampire Hunter D: Bloodlust (Banpaia hantâ D),Animation|Fantasy|Horror|Sci-Fi
Silverado,Action|Western
William Vincent (Shadows and Lies),Drama
All Superheros Must Die,Thriller
Grease 2,Comedy|Musical|Romance
"Good Time Girls, The (Bonnes femmes, Les)",Drama|Mystery|Romance
Sand Sharks,Comedy|Horror|Sci-Fi|Thriller
Revanche,Crime|Drama|Romance
"Paris, Texas",Drama|Romance
Daria: Is It Fall Yet?,Animation|Comedy
Criss Cross,Crime|Drama|Film-Noir
Get a Horse!,Animation|Children|Comedy
Blood from the Mummy's Tomb,Horror
Unstoppable,Action|Drama|Thriller
"Huey P. Newton Story, A",Documentary
Lost in Translation,Comedy|Drama|Romance
Viy or Spirit of Evil (Viy),Comedy|Drama|Fantasy|Horror
"Nada Gang, The (Nada)",Thriller
Daylight,Action|Adventure|Drama|Thriller
"Gay Deceivers, The",Comedy
"Harvest: 3,000 Years (Mirt Sost Shi Amit)",Drama
Maria's Lovers,Drama|Romance
"House of the Dead, The",Action|Horror
Ten Skies,Documentary
Father Hood,Comedy
Heiter bis wolkig,Comedy|Drama|Romance
Four Sided Triangle,Romance|Sci-Fi
Sucker Punch,Action|Fantasy|Thriller|IMAX
If These Walls Could Talk 2,Drama|Romance
Estomago: A Gastronomic Story,Drama
"Wonderful Crook, The (Pas si méchant que ça)",Crime|Drama|Romance
"Wedding Planner, The",Comedy|Romance
Key of Life (Kagi-dorobô no mesoddo),Comedy|Crime|Romance
Hypocrites,Drama|Fantasy
Three Little Words,Comedy|Musical|Romance
Wake in Fright,Drama|Thriller
Highball,Comedy|Drama
Nobody Knows Anything!,Comedy
Film ist a Girl & a Gun,Documentary|Romance
Triage,Drama|War
Vääpeli Körmy - Taisteluni,Comedy
Emma's Bliss (Emmas Glück),Drama|Romance
Lady Liberty,Comedy
Woman in the Dunes (Suna no onna),Drama
Trapped in the Closet: Chapters 23-33,Comedy|Crime|Drama|Musical
Black Swan,Drama|Thriller
Step Up,Drama|Romance
"Take Care of Your Scarf, Tatiana (Pidä huivista kiinni, Tatjana)",Comedy
Back from Eternity,Drama
Revenge of the Ninja,Action|Drama
Beyond the Fear,Documentary
"Great Caruso, The",Drama|Musical
Chronicle of an Escape (Crónica de una fuga),Thriller
"Escapist, The",Thriller
"5,000 Fingers of Dr. T, The",Children|Fantasy|Musical
Children of Nature (Börn náttúrunnar),Drama|Mystery
9th Company,Action|Drama|War
The Bronze,Comedy|Drama
"Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?, The",Horror|Mystery
Two Loves,Drama
Redbelt,Action|Drama
Street Without End (Kagirinaki hodo),Drama
"Broken Hearts Club, The",Drama
"Murder, My Sweet",Crime|Film-Noir|Thriller
Death at a Funeral,Comedy
Light Years Away,Drama
"Sunset Limited, The",Drama
Tuvalu,Comedy
Glenn Killing på Berns,Comedy
Repast (Meshi),Drama
Efectos secundarios,Comedy
Sunburn,Action|Comedy|Crime
Bread and Tulips (Pane e tulipani),Comedy|Drama|Romance
Manhunter,Action|Crime|Drama|Horror|Thriller
"Devil Bat, The",Crime|Horror|Mystery|Sci-Fi
Days of Grace (Días de gracia) ,Thriller
Palme,Documentary
Atlantis: Milo's Return ,Action|Adventure|Animation|Children|Comedy|Fantasy
Sea of Love,Crime|Drama|Thriller
Paper Birds (Pájaros de papel),Comedy|Drama
"Man from Monterey, The",Western
"Study in Choreography for Camera, A",(no genres listed)
Joe's Apartment,Comedy|Fantasy|Musical
Little Boy Blue,Drama
Tales from the Crypt,Horror
"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom)",Drama
Northeast,Drama
"Wonderful Ice Cream Suit, The",Children|Comedy|Fantasy
One Night at McCool's,Comedy
Dolan's Cadillac,Crime|Thriller
"Crew, The",Drama|Thriller
Melissa P.,Drama
Ferris Bueller's Day Off,Comedy
I Love You Too (Ik ook Van Jou),Drama|Romance
"Eye, The (Gin gwai) (Jian gui)",Thriller
Samurai III: Duel on Ganryu Island (a.k.a. Bushido) (Miyamoto Musashi kanketsuhen: kettô Ganryûjima),Action|Adventure|Drama
"Night Strangler, The",Crime|Horror|Mystery
Fixed Bayonets!,Drama|War
"Walk, Don't Run",Comedy|Romance
Bloodbath at the House of Death,Comedy|Horror
Pulse,Action|Drama|Fantasy|Horror|Mystery|Sci-Fi|Thriller
Tony,Drama|Horror|Thriller
Over the Hedge,Adventure|Animation|Children|Comedy
Forbidden,Drama|Romance
Garbage Warrior,Documentary
Narc,Crime|Drama|Thriller
"Right Kind of Wrong, The",Comedy|Romance
My Left Foot,Drama
Spider-Man 2,Action|Adventure|Sci-Fi|IMAX
Thirst (Bakjwi),Drama|Horror
Guardian Angel,Action|Drama|Thriller
Long Hello and Short Goodbye,Comedy|Thriller
Venus Wars (Venus Senki),Action|Animation|Sci-Fi|War
Hello Herman,Drama
Cousin Bette,Comedy
Square Dance,Drama|Romance
"Alley Cats, The",Drama
American Boy: A Profile of: Steven Prince,Documentary
Strike Up the Band,Comedy|Musical|Romance
Warrior of the Lost World,Action|Sci-Fi
"Softening of the Egg, The (Ägget är löst!)",Comedy|Drama
"Little Princess, A",Children|Drama
Raise the Titanic,Drama|Thriller
"Expendables 2, The",Action|Adventure
Life as We Know It,Comedy|Romance
Mandela: Long Walk to Freedom,Drama
Roman Holiday,Comedy|Drama|Romance
Mahjong (Ma jiang),Comedy|Drama
Monica Z,Drama
"Cave of the Yellow Dog, The",Drama
"Saint in London, The",Action|Comedy|Crime|Drama|Mystery
Bullet to the Head,Action|Crime|Film-Noir
The Natural Love,Documentary
Ice Men,Drama
Battlefield Baseball (Jigoku kôshien),Action|Horror|Musical
Hank and Mike,Comedy
Radioactive Dreams,Action|Comedy|Film-Noir|Musical|Sci-Fi
Whirlygirl,Drama|Romance
Invitation to Happiness,Drama|Romance
Young Cassidy,Drama
My Perestroika,Documentary
"Treasure of the Sierra Madre, The",Action|Adventure|Drama|Western
"Paper Chase, The",Drama
"Walk in the Clouds, A",Drama|Romance
"Thousand Acres, A",Drama
Hurt,Drama|Horror|Thriller
God's Country,Documentary
Equinox,Drama|Mystery|Thriller
Krrish,Adventure|Musical|Romance|Sci-Fi
"Front Line, The (Go-ji-jeon)",Drama|War
Lagaan: Once Upon a Time in India,Comedy|Drama|Musical|Romance
Parkland,Drama
Phantom (O Fantasma),Drama
How Hitler Lost the War,Documentary
"Super Cops, The",Action|Comedy|Crime|Drama|Thriller
Labyrinth of Lies,Drama
Immensee,Drama
Silvestre,Drama
Blue Collar,Crime|Drama
Someone's Gaze,Animation
Jingle All the Way,Children|Comedy
The Walking Hills,Western
Storm Warning,Crime|Drama
Snakes and Earrings (Hebi ni piasu),Drama|Thriller
"Mask of Zorro, The",Action|Comedy|Romance
"Iran Job, The",Documentary
Sniper 2,Action|Adventure|War
"Heart Is Deceitful Above All Things, The",Drama
The Man Who Wouldn't Die,Crime|Drama|Thriller
Higher Learning,Drama
More About the Children of Noisy Village (a.k.a. More About the Children of Bullerby Village) (Mer om oss barn i Bullerbyn),Children
Barbie: A Fashion Fairytale,Animation|Children
"Man from Elysian Fields, The",Drama
Don 2,Action|Crime|Mystery|Romance|Thriller
A Spell to Ward Off the Darkness,Documentary
"Client List, The",Drama
Irreconcilable Differences,Comedy|Drama|Romance
"Aviator, The",Adventure
Mon Oncle (My Uncle),Comedy
God Grew Tired of Us,Documentary|Drama
Hedda Gabler,Drama
Female Convict Scorpion: Jailhouse 41 (Joshuu sasori: Dai-41 zakkyo-bô),Crime|Drama|Thriller
Mr. Accident,Comedy
Clash of the Titans,Action|Adventure|Fantasy|Romance
"Winning Team, The",Drama|Romance
Killjoy,Horror
Spies Like Us,Comedy
"Mating of Millie, The",Comedy|Romance
"Moderns, The",Drama
California Suite,Comedy
Zulu,Action|Drama|War
Gitmek: My Marlon and Brando (Gitmek: Benim Marlon ve Brandom),Drama|Romance|War
"Kentuckian, The",Drama|Western
Were the World Mine,Adventure|Fantasy|Musical|Romance
Blinkity Blank,Animation
Sands of Iwo Jima,Action|Drama|Romance|War
Scooby-Doo! Abracadabra-Doo,Animation|Children|Mystery
Being Human,Drama
Dare,Drama
City of Ember,Adventure|Children|Sci-Fi
"Horseman, The",Crime|Thriller
Seven Invisible Men (Septyni nematomi zmones),Drama
Garbage Prince,Comedy|Drama|Romance
Amelia,Drama
Hollow Man II,Action|Horror|Sci-Fi|Thriller
Miracle in Cell No. 7,Comedy|Drama
American Raspberry (Prime Time) (Funny America),Comedy
The Seventh Sin,Drama
Täynnä Tarmoa,Documentary
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn),Documentary
Ingenious,Comedy|Drama|Romance
American Ninja 5,Action
Gimme Shelter,Documentary
Wit,Drama
"Act of Seeing with One's Own Eyes, The ",Documentary
"Black Dahlia, The",Crime|Drama|Mystery|Thriller
Direct Action,Action|Crime|Thriller
Azumi,Action|Adventure|Drama|Thriller
In the Shadow of the Machine,Documentary
Places in the Heart,Drama
"Act of Seeing with One's Own Eyes, The ",Documentary
Melinda and Melinda,Comedy|Drama
Rob the Mob,Crime|Drama
Evil Toons,Comedy|Horror
Cake,Drama
Drillbit Taylor,Comedy
Operation Petticoat,Action|Comedy|Romance|War
Strange Voyage,(no genres listed)
The Fuller Brush Girl,Comedy
"Love Guru, The",Comedy
X Games 3D: The Movie,Documentary
Big Girls Don't Cry... They Get Even (Stepkids),Comedy
"Mighty Heart, A",Drama|Thriller
"Wiz, The",Adventure|Children|Comedy|Fantasy|Musical
Jim Jefferies: I Swear to God,Comedy
Dogma,Adventure|Comedy|Fantasy
Fed Up,Documentary
Duel in the Sun,Western
Morphia (Morfiy),Drama
Night Train,Drama|Mystery|Thriller
"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom)",Drama
"Return to Homs, The",Documentary
"Great Happiness Space, The: Tale of an Osaka Love Thief",Documentary
Queen Sized,Comedy|Drama
Head Games,Documentary
The Adventures of Tartu,Drama|Romance|Thriller|War
Hotel for Dogs,Adventure|Children|Comedy
Gabbeh,Drama
Clerks II,Comedy
Death and the Maiden,Drama|Thriller
Skeleton Man,Action|Horror
The Reverse,Comedy|Drama|Romance|Thriller
College Road Trip,Comedy
"Devil's Advocate, The",Drama|Mystery|Thriller
Snake-Crane Secret (She hao dan xin zhen jiu zhou),Action|Drama
Sincerely Yours,Drama|Musical
Ciao Manhattan (Ciao! Manhattan),Documentary|Drama|Romance
"Candidate, The",Drama
Halloweentown II: Kalabar's Revenge,Adventure|Children|Comedy|Drama|Fantasy
"Hen, his wife",(no genres listed)
"Same Love, Same Rain (El mismo amor, la misma lluvia)",Comedy|Drama|Romance
Calling Dr. Death,Mystery
Jesse Stone: Sea Change,Crime|Drama
Maternal Halfbrothers (Braca po materi),Drama
Cotton Comes to Harlem,Action|Comedy
À nous la liberté (Freedom for Us),Comedy|Musical
Cesar Chavez,Drama
"Big Trail, The",Adventure|Romance|Western
Apollo Zero,Documentary
Eraser,Action|Drama|Thriller
Sometimes They Come Back... Again,Horror
Lethal Weapon 3,Action|Comedy|Crime|Drama
